636A Beihai             China               1976 21290N 109050E 0000 3 00000R MM
636A Beih  197601011 3690 3080 2470 1940 1440 1000  720  650  790 1020 1250 1430
636A Beih  197601012 1590 1730 1930 2250 2640 3110 3660 4210 4660 4880 4880 4650
636A Beih  197601021 4200 3590 2980 2430 1890 1390  920  690  630  770 1040 1240
636A Beih  197601022 1420 1590 1720 1950 2280 2680 3170 3700 4220 4650 4840 4810
636A Beih  197601031 4540 4050 3480 2880 2330 1800 1300  900  710  710  930 1190
636A Beih  197601032 1350 1480 1580 1750 2000 2260 2670 3140 3660 4160 4560 4720
636A Beih  197601041 4630 4290 3790 3230 2660 2150 1660 1240  960  870  950 1130
636A Beih  197601042 1340 1510 1620 1710 1830 2030 2340 2700 3160 3650 4090 4390
636A Beih  197601051 4480 4310 3940 3430 2880 2320 1820 1400 1030  840  790  930
636A Beih  197601052 1120 1340 1510 1590 1670 1750 1880 2130 2500 2900 3330 3650
636A Beih  197601061 3900 3990 3850 3530 3030 2490 2000 1600 1330 1190 1190 1320
636A Beih  197601062 1540 1770 1940 2070 2130 2140 2220 2330 2550 2910 3260 3610
636A Beih  197601071 3890 4020 3980 3750 3360 2890 2380 1940 1630 1460 1430 1520
636A Beih  197601072 1710 1920 2130 2300 2350 2320 2270 2240 2330 2510 2720 2990
636A Beih  197601081 3260 3480 3550 3430 3160 2790 2370 1980 1680 1480 1460 1550
636A Beih  197601082 1770 2080 2360 2550 2660 2680 2620 2550 2490 2500 2580 2750
636A Beih  197601091 2950 3130 3240 3190 3000 2710 2400 2060 1790 1620 1590 1650
636A Beih  197601092 1830 2120 2390 2650 2800 2810 2720 2650 2580 2440 2360 2340
636A Beih  197601101 2380 2490 2600 2620 2540 2380 2140 1870 1670 1550 1520 1600
636A Beih  197601102 1820 2070 2370 2660 2870 2970 3000 2960 2850 2650 2410 2190
636A Beih  197601111 2110 2110 2170 2210 2240 2210 2130 2000 1950 1920 1920 2020
636A Beih  197601112 2210 2460 2750 3050 3330 3530 3640 3620 3460 3170 2850 2500
636A Beih  197601121 2230 2040 1940 1890 1870 1870 1840 1840 1870 1900 1950 2100
636A Beih  197601122 2310 2570 2880 3210 3540 3810 3940 3970 3840 3570 3180 2740
636A Beih  197601131 2340 2010 1750 1550 1440 1390 1380 1430 1530 1630 1720 1860
636A Beih  197601132 2070 2340 2650 3030 3430 3810 4090 4220 4180 3960 3580 3140
636A Beih  197601141 2660 2250 1890 1590 1350 1190 1130 1170 1250 1370 1510 1660
636A Beih  197601142 1840 2070 2390 2760 3180 3620 4000 4250 4340 4210 3910 3470
636A Beih  197601151 2970 2520 2090 1680 1330 1080  960  970 1090 1280 1460 1600
636A Beih  197601152 1750 1950 2230 2570 3010 3470 3960 4320 4540 4560 4400 4040
636A Beih  197601161 3530 2950 2420 1960 1540 1170  950  900  970 1160 1360 1530
636A Beih  197601162 1680 1820 2030 2350 2720 3190 3720 4180 4550 4700 4640 4380
636A Beih  197601171 3910 3360 2800 2260 1790 1350  980  810  820  970 1170 1350
636A Beih  197601172 1520 1650 1800 2030 2340 2740 3210 3700 4200 4560 4700 4600
636A Beih  197601181 4260 3770 3200 2630 2100 1600 1160  870  810  910 1120 1330
636A Beih  197601182 1510 1620 1680 1800 2050 2380 2770 3240 3760 4240 4570 4680
636A Beih  197601191 4570 4220 3680 3070 2480 1950 1490 1150  990 1020 1210 1450
636A Beih  197601192 1650 1790 1850 1870 1950 2130 2430 2810 3290 3790 4230 4530
636A Beih  197601201 4610 4460 4060 3520 2940 2400 1910 1520 1280 1220 1340 1560
636A Beih  197601202 1780 1930 2000 1950 1910 1940 2070 2310 2650 3070 3510 3910
636A Beih  197601211 4180 4210 4020 3630 3130 2580 2060 1640 1390 1310 1460 1680
636A Beih  197601212 1960 2160 2270 2280 2180 2050 2000 2050 2210 2480 2860 3270
636A Beih  197601221 3620 3850 3850 3610 3250 2770 2260 1810 1520 1420 1540 1820
636A Beih  197601222 2140 2350 2490 2470 2380 2270 2090 1890 1830 1910 2110 2490
636A Beih  197601231 2790 3080 3250 3230 3070 2760 2400 2060 1750 1640 1780 2060
636A Beih  197601232 2430 2790 3050 3180 3150 3000 2790 2520 2230 2030 1990 2130
636A Beih  197601241 2430 2710 2880 2980 2940 2770 2550 2310 2090 1980 2050 2310
