636A Beihai             China               1975 21290N 109050E 0000 3 00000R MM
636A Beih  197501311 4370 4390 4160 3730 3210 2660 2150 1770 1570 1550 1710 1940
636A Beih  197501312 2190 2320 2320 2200 2000 1820 1700 1740 2000 2370 2880 3170
636A Beih  197502011 3600 3870 3920 3760 3450 3020 2540 2130 1860 1830 2030 2350
636A Beih  197502012 2640 2880 2960 2870 2650 2370 2060 1750 1610 1670 1960 2380
636A Beih  197502021 2780 3140 3300 3250 3050 2790 2490 2160 1890 1830 2000 2410
636A Beih  197502022 2860 3270 3540 3550 3340 3040 2700 2320 1940 1690 1630 1720
636A Beih  197502031 1940 2250 2490 2620 2600 2430 2220 2030 1840 1780 1920 2270
636A Beih  197502032 2700 3200 3630 3900 3930 3780 3490 3080 2640 2190 1870 1670
636A Beih  197502041 1640 1680 1810 1930 2020 2030 1970 1860 1780 1770 1880 2150
636A Beih  197502042 2530 3020 3450 3870 4110 4190 4060 3780 3350 2870 2390 2010
636A Beih  197502051 1710 1530 1410 1370 1430 1490 1510 1550 1660 1720 1800 2010
636A Beih  197502052 2360 2740 3190 3650 4060 4330 4420 4270 3970 3570 3080 2630
636A Beih  197502061 2220 1890 1600 1370 1230 1180 1230 1330 1440 1560 1680 1820
636A Beih  197502062 2080 2390 2760 3180 3640 4000 4240 4300 4160 3860 3440 2970
636A Beih  197502071 2480 2050 1690 1320 1030  870  870  970 1090 1250 1430 1580
636A Beih  197502072 1740 2020 2350 2740 3140 3570 3910 4090 4120 3940 3610 3160
636A Beih  197502081 2670 2180 1700 1300  950  730  620  630  800 1030 1240 1350
636A Beih  197502082 1510 1700 1960 2370 2760 3180 3570 3990 4210 4230 4070 3800
636A Beih  197502091 3260 2670 2140 1640 1280  970  770  760  910 1090 1260 1440
636A Beih  197502092 1570 1710 1880 2150 2480 2880 3330 3790 4130 4300 4310 4150
636A Beih  197502101 3770 3240 2690 2160 1780 1420 1240 1150 1230 1420 1570 1660
636A Beih  197502102 1750 1830 1920 2060 2270 2600 3020 3410 3820 4080 4240 4220
636A Beih  197502111 3940 3370 2840 2320 1860 1460 1220 1120 1140 1260 1500 1680
636A Beih  197502112 1770 1780 1810 1900 2080 2340 2680 3100 3540 3970 4180 4210
636A Beih  197502121 4080 3750 3270 2690 2220 1780 1460 1310 1310 1420 1610 1740
636A Beih  197502122 1860 1900 1860 1850 1900 2070 2370 2720 3060 3500 3820 4080
636A Beih  197502131 4130 3890 3460 2960 2490 2010 1710 1530 1530 1590 1810 2030
636A Beih  197502132 2160 2210 2150 2060 1980 2010 2180 2450 2800 3190 3590 3870
636A Beih  197502141 3990 3900 3600 3180 2700 2240 1860 1650 1610 1720 1880 2090
636A Beih  197502142 2260 2290 2260 2160 2010 1890 1900 2060 2380 2780 3180 3500
636A Beih  197502151 3660 3720 3600 3280 2910 2500 2130 1900 1800 1860 2030 2230
636A Beih  197502152 2360 2450 2380 2230 2050 1860 1710 1690 1800 2070 2410 2740
636A Beih  197502161 3030 3210 3190 3020 2780 2460 2140 1910 1880 2030 2320 2600
636A Beih  197502162 2810 2930 2910 2740 2550 2380 2120 1880 1860 2000 2280 2600
636A Beih  197502171 2850 3040 3060 2960 2820 2610 2340 2140 2050 2120 2390 2710
636A Beih  197502172 3020 3240 3300 3180 2980 2680 2340 2010 1710 1580 1610 1800
636A Beih  197502181 2090 2330 2420 2380 2260 2020 1920 1920 1850 1960 2200 2520
636A Beih  197502182 2870 3190 3420 3470 3360 3140 2850 2470 2040 1750 1600 1620
636A Beih  197502191 1730 1870 2010 2130 2150 2070 1990 1970 2050 2150 2310 2590
636A Beih  197502192 2940 3290 3590 3780 3800 3660 3380 2980 2530 2060 1730 1510
636A Beih  197502201 1330 1280 1330 1430 1520 1580 1650 1730 1800 1890 2100 2450
636A Beih  197502202 2810 3230 3630 3950 4100 4100 3970 3680 3250 2790 2320 1990
636A Beih  197502211 1710 1520 1410 1380 1400 1460 1580 1730 1840 1960 2150 2400
636A Beih  197502212 2730 3110 3510 3920 4200 4310 4250 4070 3730 3290 2790 2320
636A Beih  197502221 1940 1570 1300 1110 1050 1090 1220 1410 1590 1740 1920 2140
636A Beih  197502222 2460 2830 3270 3740 4170 4490 4630 4590 4390 4030 3550 3030
636A Beih  197502231 2550 2130 1720 1410 1220 1140 1190 1320 1530 1720 1880 2040
636A Beih  197502232 2230 2490 2870 3310 3770 4210 4550 4710 4680 4480 4090 3570
636A Beih  197502241 3050 2490 2020 1590 1280 1080 1050 1170 1370 1610 1800 1920
636A Beih  197502242 2030 2230 2510 2850 3260 3740 4200 4580 4780 4740 4480 4020
636A Beih  197502251 3510 2970 2440 1950 1480 1120  920  940 1130 1360 1510 1620
636A Beih  197502252 1680 1730 1880 2130 2450 2860 3360 3860 4290 4580 4610 4390
636A Beih  197502261 3970 3430 2890 2360 1890 1500 1220 1160 1280 1500 1700 1800
636A Beih  197502262 1820 1740 1690 1750 1900 2170 2590 3060 3570 4030 4370 4470
636A Beih  197502271 4290 3910 3420 2860 2350 1900 1610 1520 1600 1800 2030 2190
636A Beih  197502272 2220 2100 1890 1690 1580 1580 1810 2220 2710 3220 3690 4030
636A Beih  197502281 4140 3990 3680 3260 2760 2290 1940 1820 1900 2150 2450 2690
636A Beih  197502282 2770 2650 2370 2070 1760 1470 1330 1470 1860 2370 2890 3320
636A Beih  197503011 3600 3720 3630 3390 3040 2640 2260 2040 2090 2410 2840 3210
636A Beih  197503012 3420 3380 3110 2790 2420 1980 1560 1280 1250 1510 1950 2440
